State,Congressional District ID,Congressional District Name,Number,Percent,Number,Percent
Pennsylvania,4213,Congressional District 13,102777,0.14318373799324,190511,0.265410333871841
Tennessee,4705,Congressional District 5,107511,0.143110632896423,221585,0.294957429170609
New York,3624,Congressional District 24,96596,0.142733871936798,198658,0.293544501066208
Georgia,1304,Congressional District 4,107937,0.142458558082581,239509,0.316111296415329
California,613,Congressional District 13,106260,0.142129704356194,210448,0.281487971544266
Massachusetts,2501,Congressional District 1,100985,0.141990408301353,201754,0.283677101135254
Florida,1217,Congressional District 17,107804,0.141608491539955,241631,0.317400127649307
Tennessee,4702,Congressional District 2,103424,0.141521036624908,221257,0.302758753299713
Louisiana,2201,Congressional District 1,112361,0.141512587666512,227011,0.285908073186874
Washington,5305,Congressional District 5,97503,0.141492635011673,208656,0.302793622016907
Georgia,1303,Congressional District 3,102161,0.140947684645653,222603,0.307116985321045
North Carolina,3711,Congressional District 11,104530,0.140811115503311,242417,0.326557040214539
Texas,4813,Congressional District 13,94867,0.140378579497337,225041,0.333002358675003
Oklahoma,4001,Congressional District 1,111094,0.140304207801819,249054,0.314538359642029
Kentucky,2103,Congressional District 3,102498,0.140271216630936,204111,0.279331296682358
Missouri,2904,Congressional District 4,102547,0.139876931905746,233685,0.31875279545784
Texas,4836,Congressional District 36,100567,0.139251098036766,221942,0.307314187288284
Arizona,402,Congressional District 2,97124,0.139046534895897,213232,0.305271297693253
Kansas,2001,Congressional District 1,92739,0.138540685176849,220709,0.329712182283401
Oregon,4102,Congressional District 2,111177,0.138419643044472,250369,0.311719059944153
Tennessee,4704,Congressional District 4,105786,0.138232663273811,222310,0.29049688577652
California,641,Congressional District 41,103304,0.138149797916412,254426,0.340247243642807
North Carolina,3710,Congressional District 10,103026,0.138092339038849,252436,0.338356137275696
Texas,4814,Congressional District 14,100604,0.138052359223366,206869,0.283872932195663
Alabama,105,Congressional District 5,96615,0.137847542762756,210898,0.300903290510178
California,628,Congressional District 28,98485,0.137843430042267,207459,0.290367692708969
Colorado,803,Congressional District 3,100485,0.137222856283188,221627,0.302655011415482
Indiana,1802,Congressional District 2,95916,0.136957317590714,203914,0.291166365146637
North Carolina,3708,Congressional District 8,104913,0.136842086911201,243118,0.317108243703842
Nevada,3204,Congressional District 4,100679,0.136798441410065,213608,0.290241658687592
Illinois,1715,Congressional District 15,91994,0.136499539017677,200780,0.297914832830429
California,624,Congressional District 24,95897,0.136313170194626,196571,0.279416620731354
California,603,Congressional District 3,98850,0.136060133576393,208636,0.287172913551331
Delaware,1000,Congressional District (at Large),126986,0.135821595788002,248617,0.265915602445602
Texas,4805,Congressional District 5,100932,0.135649800300598,257422,0.345968008041382
New Jersey,3402,Congressional District 2,93870,0.135628923773766,178605,0.258059054613113
Maine,2302,Congressional District 2,85979,0.135560110211372,203365,0.320638537406921
Florida,1201,Congressional District 1,100017,0.13551539182663,219353,0.297206550836563
Arkansas,502,Congressional District 2,101238,0.135316699743271,243487,0.325449496507645
Kansas,2004,Congressional District 4,95753,0.135233074426651,216830,0.306231528520584
Texas,4804,Congressional District 4,98273,0.134830743074417,219342,0.300937622785568
Arizona,404,Congressional District 4,100244,0.134343639016151,240848,0.322776407003403
Georgia,1309,Congressional District 9,99585,0.134087979793549,219979,0.296194612979889
Michigan,2606,Congressional District 6,94037,0.133803933858871,206074,0.293219804763794
Oklahoma,4004,Congressional District 4,101659,0.133738964796066,236303,0.310871809720993
Pennsylvania,4209,Congressional District 9,89084,0.133609905838966,208030,0.312007397413254
Tennessee,4708,Congressional District 8,92941,0.133192792534828,186959,0.267929017543793
New York,3621,Congressional District 21,88298,0.133171647787094,202110,0.304823696613312
New York,3611,Congressional District 11,99374,0.132907852530479,189179,0.253017634153366
California,653,Congressional District 53,101133,0.132348790764809,197164,0.258020788431168
Florida,1207,Congressional District 7,98794,0.13207471370697,205080,0.274165272712708
California,625,Congressional District 25,93742,0.131946980953217,191952,0.270182937383652
New York,3614,Congressional District 14,88876,0.131670296192169,209142,0.309845060110092
Pennsylvania,4203,Congressional District 3,87368,0.131649881601334,184953,0.278695195913315
Rhode Island,4401,Congressional District 1,68013,0.131563872098923,143889,0.278337895870209
Virginia,5105,Congressional District 5,91635,0.131420627236366,199060,0.285486876964569
Indiana,1809,Congressional District 9,95470,0.13133530318737,200987,0.276491969823837
Idaho,1602,Congressional District 2,107064,0.131303071975708,263740,0.323450207710266
Indiana,1806,Congressional District 6,91206,0.130994349718094,200886,0.288521945476532
Michigan,2601,Congressional District 1,88408,0.130665481090546,203290,0.300459057092667
Pennsylvania,4217,Congressional District 17,87828,0.130650550127029,187494,0.278910964727402
Florida,1213,Congressional District 13,93748,0.130406960844994,216999,0.301853686571121
Texas,4807,Congressional District 7,103713,0.130191475152969,215333,0.270308643579483
South Carolina,4502,Congressional District 2,90200,0.130080461502075,194534,0.28054404258728
South Dakota,4600,Congressional District (at Large),109099,0.13003596663475,224992,0.268169730901718
Oregon,4105,Congressional District 5,105225,0.129006907343864,225509,0.276476293802261
South Carolina,4504,Congressional District 4,91886,0.128991767764091,210421,0.295394062995911
Virginia,5106,Congressional District 6,92462,0.128902822732925,208210,0.290269076824188
California,610,Congressional District 10,96525,0.128634139895439,231316,0.308263510465622
Georgia,1313,Congressional District 13,95371,0.128272339701653,239397,0.321984827518463
Tennessee,4706,Congressional District 6,97108,0.127739727497101,221188,0.290959507226944
Kansas,2002,Congressional District 2,87500,0.127550274133682,192831,0.281093120574951
North Carolina,3712,Congressional District 12,108160,0.127516642212868,240090,0.283057242631912
Ohio,3904,Congressional District 4,86769,0.127400442957878,187343,0.275070369243622
Idaho,1601,Congressional District 1,109245,0.125411123037338,251604,0.288836479187012
Indiana,1804,Congressional District 4,90819,0.125172793865204,194625,0.268245160579681
Texas,4811,Congressional District 11,92313,0.124960064888,213109,0.288476318120956
Montana,3000,Congressional District (at Large),127777,0.124719746410847,292699,0.285695731639862
Michigan,2609,Congressional District 9,88896,0.124493390321732,189387,0.265224874019623
Florida,1211,Congressional District 11,93526,0.124317936599255,234362,0.311521947383881
New York,3619,Congressional District 19,82907,0.123642690479755,172895,0.25784558057785
Pennsylvania,4216,Congressional District 16,88318,0.12360517680645,200786,0.281009405851364
Wisconsin,5503,Congressional District 3,84971,0.123382233083248,186845,0.271308481693268
Iowa,1902,Congressional District 2,93101,0.123254299163818,206849,0.273842692375183
California,602,Congressional District 2,86328,0.122944414615631,176882,0.251907289028168
Louisiana,2206,Congressional District 6,96165,0.122538305819035,207425,0.26431143283844
Ohio,3907,Congressional District 7,86870,0.122499287128448,196013,0.276406735181808
Illinois,1709,Congressional District 9,86820,0.121915601193905,172809,0.242664277553558
New York,3606,Congressional District 6,91568,0.121316343545914,215408,0.285389125347137
Washington,5303,Congressional District 3,87475,0.120854042470455,188808,0.260854065418243
Florida,1221,Congressional District 21,94331,0.120456591248512,223950,0.285974413156509
Utah,4902,Congressional District 2,90165,0.119961842894554,208255,0.277077049016953
Indiana,1803,Congressional District 3,87315,0.119763642549515,208271,0.285670191049576
Washington,5306,Congressional District 6,82563,0.119068086147308,169171,0.243969663977623
Ohio,3902,Congressional District 2,85364,0.118991300463676,181968,0.253650337457657
Kentucky,2104,Congressional District 4,88396,0.118966773152351,185967,0.250281602144241
California,632,Congressional District 32,83868,0.117794282734394,208897,0.293400019407272
Michigan,2602,Congressional District 2,84230,0.117533624172211,199543,0.278440117835999
Minnesota,2708,Congressional District 8,75545,0.116708040237427,166760,0.257624387741089
Minnesota,2704,Congressional District 4,81344,0.116662360727787,171436,0.245870977640152
Wisconsin,5502,Congressional District 2,86776,0.116661533713341,165762,0.222850203514099
Michigan,2603,Congressional District 3,84494,0.11654119938612,193827,0.267342418432236
Ohio,3915,Congressional District 15,86172,0.116426467895508,173744,0.23474445939064
Nebraska,3103,Congressional District 3,67863,0.116402089595795,161291,0.276654571294785
Tennessee,4707,Congressional District 7,87692,0.115431144833565,214574,0.282449036836624
Florida,1212,Congressional District 12,88725,0.115386568009853,212032,0.275746911764145
California,620,Congressional District 20,82480,0.115136511623859,207715,0.289956122636795
Florida,1208,Congressional District 8,86120,0.114990718662739,203773,0.272085517644882
Iowa,1904,Congressional District 4,82462,0.113941855728626,187072,0.258486717939377
Wyoming,5600,Congressional District (at Large),64054,0.113321371376514,139014,0.245937138795853
Florida,1222,Congressional District 22,84627,0.113168865442276,190626,0.254917800426483
Vermont,5000,Congressional District (at Large),67841,0.113094344735146,154657,0.257820963859558
Minnesota,2701,Congressional District 1,73972,0.1130480915308,160529,0.245329275727272
New York,3620,Congressional District 20,79459,0.112993896007538,154291,0.219408005475998
Pennsylvania,4210,Congressional District 10,75224,0.112812928855419,181355,0.271976888179779
North Carolina,3704,Congressional District 4,93258,0.112743310630322,190046,0.22975417971611
Colorado,801,Congressional District 1,91626,0.112541362643242,198920,0.244327247142792
Hawaii,1502,Congressional District 2,77949,0.112404122948647,151171,0.217991814017296
Texas,4832,Congressional District 32,84888,0.112025506794453,191530,0.252759456634521
Pennsylvania,4215,Congressional District 15,79159,0.111249931156635,176118,0.247515961527824
Alaska,200,Congressional District (at Large),80012,0.111054971814156,172418,0.239312559366226
Massachusetts,2503,Congressional District 3,83211,0.111026756465435,171313,0.228579476475716
Washington,5309,Congressional District 9,83883,0.110795870423317,176496,0.233122661709785
New York,3605,Congressional District 5,87172,0.110721178352833,198759,0.252452969551086
Michigan,2608,Congressional District 8,79014,0.110636591911316,144664,0.20256070792675
Illinois,1716,Congressional District 16,74050,0.110441453754902,163888,0.24442982673645
Minnesota,2707,Congressional District 7,70964,0.110091514885426,167898,0.260472148656845
Massachusetts,2502,Congressional District 2,76998,0.109361283481121,153969,0.21868422627449
Connecticut,901,Congressional District 1,76120,0.109168611466885,162431,0.232952803373337
Washington,5310,Congressional District 10,78699,0.108489140868187,173807,0.239598631858826
Ohio,3908,Congressional District 8,76940,0.108298778533936,182915,0.257466465234756
Colorado,805,Congressional District 5,83030,0.108245030045509,184693,0.240781635046005
Michigan,2607,Congressional District 7,73019,0.108027614653111,166866,0.246869117021561
New York,3616,Congressional District 16,78241,0.107824482023716,171192,0.235920906066895
Missouri,2906,Congressional District 6,80014,0.107750914990902,189329,0.254960060119629
Colorado,802,Congressional District 2,83477,0.107442751526833,159674,0.205515459179878
New Jersey,3406,Congressional District 6,76163,0.106659069657326,141803,0.198581665754318
Wisconsin,5507,Congressional District 7,74036,0.106324523687363,181518,0.260681509971619
Nebraska,3101,Congressional District 1,66581,0.106063768267632,157861,0.251473128795624
Texas,4808,Congressional District 8,87794,0.105642005801201,207084,0.249182969331741
Texas,4825,Congressional District 25,79781,0.105599284172058,170736,0.225988641381264
Arizona,406,Congressional District 6,82103,0.105522982776165,169349,0.217656016349792
Florida,1219,Congressional District 19,84535,0.105189874768257,206192,0.25657194852829
Maryland,2402,Congressional District 2,77689,0.104843452572823,186622,0.251851558685303
North Carolina,3702,Congressional District 2,86563,0.104759775102139,191963,0.232316344976425
Iowa,1901,Congressional District 1,78259,0.104710705578327,185152,0.247733756899834
Pennsylvania,4211,Congressional District 11,69795,0.103544346988201,166156,0.246500670909882
Connecticut,903,Congressional District 3,71595,0.103541783988476,149668,0.216452151536942
North Dakota,3800,Congressional District (at Large),75279,0.103213116526604,163670,0.224403753876686
California,607,Congressional District 7,76364,0.103027522563934,167903,0.226528599858284
